player_id,year,matches_played,runs,highest_score,bat_avg,centuries,wickets,best_bowling_innings,bowl_avg,five_wicket_hauls,catches,stumps,ave_diff,match_format,id
52067,1972,1,,,,,2.0,2/140,70.0,0.0,0.0,0.0,,Test,163
39950,2019,2,321.0,174,160.5,2.0,,,,,0.0,0.0,,Test,164
39950,2020,5,164.0,60,20.5,0.0,,,,,1.0,0.0,,Test,165
39950,2021,9,695.0,215*,49.64,2.0,,,,,5.0,0.0,,Test,166
39950,2019,4,191.0,112,47.75,1.0,,,,,3.0,0.0,,ODI,167
39950,2020,2,43.0,22,21.5,0.0,,,,,0.0,0.0,,ODI,168
1268920,2021,7,4.0,3*,1.33,0.0,5.0,2/25,29.2,0.0,1.0,0.0,-27.86,T20I,169
1268920,2023,5,7.0,4*,7.0,0.0,7.0,4/35,22.85,0.0,0.0,0.0,-15.85,T20I,170
346552,2021,9,47.0,10*,9.4,0.0,2.0,2/12,21.5,0.0,3.0,0.0,-12.09,T20I,171
6553,2009,4,107.0,68,21.4,0.0,9.0,3/25,33.33,0.0,2.0,0.0,-11.93,Test,172
1286503,2021,1,4.0,4,4.0,0.0,1.0,1/57,57.0,0.0,0.0,0.0,-52.99,T20I,173
1286503,2022,7,12.0,7,3.0,0.0,0.0,,,0.0,1.0,0.0,,T20I,174
1058508,2020,2,13.0,8*,,0.0,0.0,,,0.0,0.0,0.0,,ODI,175
1058508,2019,17,5.0,3*,1.66,0.0,16.0,4/35,21.87,0.0,3.0,0.0,-20.2,T20I,176
1058508,2020,3,12.0,12,12.0,0.0,4.0,2/23,21.5,0.0,2.0,0.0,-9.49,T20I,177
1058508,2021,4,,,,,2.0,1/20,48.5,0.0,1.0,0.0,,T20I,178
1058508,2022,12,4.0,3*,,0.0,18.0,3/26,15.05,0.0,1.0,0.0,,T20I,179
1163387,2019,2,,,,,,,,,3.0,0.0,,T20I,5295
1058508,2023,12,1.0,1*,,0.0,24.0,6/11,13.75,1.0,3.0,0.0,,T20I,180
1058508,2024,14,1.0,1*,0.33,0.0,11.0,3/29,31.27,0.0,1.0,0.0,-30.93,T20I,181
650561,2019,7,66.0,22,16.5,0.0,,,,,1.0,0.0,,T20I,182
734459,2022,3,35.0,17,17.5,0.0,23.0,7/114,30.0,2.0,0.0,0.0,-12.49,Test,183
734459,2023,3,17.0,10,8.5,0.0,15.0,4/69,32.73,0.0,2.0,0.0,-24.23,Test,184
734459,2024,2,14.0,9,4.66,0.0,1.0,1/40,297.0,0.0,1.0,0.0,-292.33,Test,185
734459,2024,3,,,,,2.0,2/15,23.0,0.0,0.0,0.0,,T20I,186
1198872,2019,4,55.0,37,27.5,0.0,,,,,0.0,3.0,,T20I,187
1198872,2021,3,61.0,30,61.0,0.0,,,,,2.0,0.0,,T20I,188
1198872,2022,3,36.0,19,12.0,0.0,,,,,6.0,3.0,,T20I,189
1198872,2024,9,86.0,36,17.2,0.0,,,,,10.0,3.0,,T20I,190
9249,1961,2,3.0,3*,,0.0,3.0,3/27,50.0,0.0,1.0,0.0,,Test,191
1283168,2021,2,6.0,4*,6.0,0.0,1.0,1/8,8.0,0.0,1.0,0.0,-1.99,T20I,192
